SubjectGroup,Attractive, Warm, Trustworthy, Dominant, Kind, Possibly Unfaithful, Datable, ParticipantGender, ProfileGender, Participant RelationshipStatus
2,6,8,7,6,9,2,7,female,,married,M079006
,,2,4,2,2,2,3,1,3,female,,married,M074129
1,8,4,6,8,5,7,6,female,,in a realtionship,M099762
2,0,0,1,1,1,0,0,female,,single,M003194
,,,,1,7,3,3,3,4,7,3,female,,single,M019888
r,1,7,5,6,6,6,3,7,female,,married,M080138
2,6,5,6,5,6,8,7,female,,married,M019518
1,9,5,6,5,7,5,8,female,,single,M031928
,,2,2,5,8,0,6,1,6,female,,cohabiting,M069091
1,8,6,6,5,6,6,8,female,,in a relationship,M071496
2,4,6,5,4,5,4,4,female,,married,M081172
a,1,6,4,2,6,3,6,7,female,,single,M014027
2,5,3,2,7,2,6,3,female,,in a monogamous relationship,M077635
2,6,4,6,8,6,4,2,female,,living together,M015037
,,,,2,7,5,3,7,5,7,4,female,,married,M083438
1,6,6,8,7,7,7,5,female,,single,M007635
2,1,1,1,0,4,1,0,female,,married,M080089
1,5,6,6,4,4,6,2,female,,in relationship,M024343
1,3,4,3,3,4,4,8,female,,single,M095133
1,6,3,3,2,5,2,4,female,,in a relationship,M012723
2,2,6,4,9,4,6,3,female,,single,M053004
1,2,4,3,6,5,3,1,female,,single,M051183
1,7,6,7,8,6,5,7,female,,single,M035720
r,2,8,8,7,7,8,6,8,female,,single,M036729
2,7,5,5,5,5,5,4,female,,engaged,M083348
1,0,0,0,0,0,2,1,female,,married,M089297
1,5,5,5,5,5,5,3,female,,married,M053874
0,2,5,2,2,5,4,7,10,female,,in a relationship,M069625
1,7,6,7,5,8,3,7,female,,married,M032788
2,6,6,8,9,7,7,5,female,,single,M028087
2,5,3,3,6,4,5,1,female,,engaged,M006444
1,5,8,6,8,7,4,5,female,,single,M023802
1,4,4,5,4,4,6,3,female,,married,M015981
1,4,3,5,0,7,0,3,female,,single,M051306
,,m,1,1,0,1,7,2,7,0,female,,single,M003595
2,4,2,2,7,3,5,3,female,,living with partner,M061893
1,4,3,1,2,4,3,3,female,,single,M017130
2,8,4,5,5,5,5,7,female,,married,M078144
2,6,5,6,4,7,3,0,female,,cohabiting,M012920
2,5,4,4,6,3,5,4,female,,in a relationship,M063715
 ,1,6,2,2,8,2,8,3,female,,married,M018657
1,8,8,8,6,7,2,9,female,,single,M030351
1,6,6,6,4,7,5,4,female,,married,M012411
2,1,3,3,3,1,1,1,female,,married,M047120
1,2,3,2,5,3,3,1,female,,married,M007207
1,5,6,5,5,5,8,2,female,,married,M047399
,,,,2,1,5,3,7,4,8,4,female,,single,M045912
2,7,3,2,7,2,7,8,female,,maried,M026068
1,4,4,5,4,5,5,2,female,,in a relationship,M075165
2,8,5,7,9,6,9,8,female,,single,M040693
