SubjectGroup,Attractive, Warm, Trustworthy, Dominant, Kind, Possibly Unfaithful, Datable, ParticipantGender, ProfileGender, Participant RelationshipStatus,
1,6,7,7,9,6,2,8,female,,in a realtionship,M099762
1,5,4,6,5,4,4,5,female,,single,M019888
1,6,6,6,5,6,4,6,female,,married,M080138
1,7,4,6,5,6,5,4,female,,single,M031928
1,7,7,6,5,7,5,7,female,,in a relationship,M071496
1,4,6,5,5,6,6,3,female,,single,M014027
1,7,6,5,6,6,5,5,female,,single,M007635
1,2,5,5,5,4,4,2,female,,in relationship,M024343
1,0,2,2,2,2,2,1,female,,single,M095133
1,2,2,5,2,5,2,2,female,,in a relationship,M012723
1,3,4,5,5,5,3,2,female,,single,M051183
1,4,5,5,7,5,5,3,female,,single,M035720
1,0,0,0,0,0,1,1,female,,married,M089297
1,6,5,5,5,5,5,2,female,,married,M053874
1,6,6,6,5,6,5,6,female,,married,M032788
1,3,2,4,6,3,6,2,female,,single,M023802
1,2,4,2,5,4,5,5,female,,married,M015981
1,2,1,9,5,0,3,1,female,,single,M051306
1,6,2,5,4,5,4,3,female,,single,M003595
1,1,2,2,1,3,1,0,female,,single,M017130
1,4,2,2,5,2,4,7,female,,married,M018657
1,6,5,6,7,6,3,6,female,,single,M030351
1,4,5,6,4,7,3,6,female,,married,M012411
1,1,3,5,7,3,3,1,female,,married,M007207
1,7,5,5,6,5,6,3,female,,married,M047399
1,1,4,3,5,6,5,1,female,,in a relationship,M075165
2,6,8,7,5,7,4,6,female,,married,M079006
2,3,2,1,3,1,2,3,female,,married,M074129
2,1,1,1,3,1,1,0,female,,single,M003194
2,3,5,6,5,6,7,2,female,,married,M019518
2,0,5,5,4,4,2,2,female,,cohabiting,M069091
2,5,5,3,4,4,2,3,female,,married,M081172
2,2,3,4,7,3,2,1,female,,in a monogamous relationship,M077635
2,4,6,5,7,6,5,0,female,,living together,M015037
2,1,1,2,1,1,2,10,female,,married,M083438
2,2,3,3,5,4,6,1,female,,married,M080089
2,4,6,6,5,6,2,2,female,,single,M053004
2,6,7,9,7,7,5,4,female,,single,M036729
2,6,5,5,5,5,5,1,female,,engaged,M083348
2,3,3,3,5,4,6,1,female,,in a relationship,M069625
2,7,6,6,5,7,6,5,female,,single,M028087
2,4,4,3,5,4,6,1,female,,engaged,M006444
2,3,4,3,6,4,4,5,female,,living with partner,M061893
2,8,6,6,6,6,5,7,female,,married,M078144
2,1,2,4,6,5,3,0,female,,cohabiting,M012920
2,2,3,5,3,3,4,2,female,,in a relationship,M063715
2,1,2,1,1,1,0,2,female,,married,M047120
2,3,5,6,3,5,6,2,female,,single,M045912
2,6,2,3,6,4,7,6,female,,maried,M026068
2,4,5,6,4,6,2,2,female,,single,M040693
